/
TriangularGimbab,7,50,Fix
7000000,Basic,GimbapReg,1,1,2,16.5
7000001,TunaMayo,GimbapReg,1,1,1,16.5
7000002,Vegitable,GimbapReg,1,1,2,16.5
/
RegularGimbab,6,16.5,Oneline
8000000,EggMayo,Sandwich,1,2,0,6
8000001,StrawberryJam,Sandwich,1,2,0,6
8000002,HamEgg,Sandwich,1,2,1,6
9000000,Bulgogi,Lunchbox,1,1,0,15
9000001,CompactDietBox,Lunchbox,1,1,0,7.5
9000002,SpicyFriedPork,Lunchbox,1,1,0,17.5
9000003,CompactFriedRice,Lunchbox,0,1,1,8
9000004,PorkCutlet,Lunchbox,0,1,1,14.5
9000005,Combination,Lunchbox,0,1,2,18
10000000,Rollcake,Dairy,1,2,0,5
10000001,ChickenSalad,Salad,1,1,0,11
10000002,FineCheeseSet,Diary,2,3,0,8
10000003,MilkCreamBread,Diary,1,3,0,10.5
10000004,ChocolateCreamBread,Diary,2,3,0,10.5
10000005,StrawberryCreamBread,Diary,0,3,1,10.5
10000006,Pudding,Diary,0,3,3,5.5
10000007,EggSalad,Salad,0,1,1,9.5
